place,title,time,pay,date
경북 구미시,만나플러스 [경북구미시]성광옥계점,시간협의,"건별3,700",5시간 전
대구 달성군,만나플러스 [대구성서]서재스마일,시간협의,"일급200,000",N/A
충남 논산시,만나플러스 [논산시]날라가콜,시간협의,"월급4,000,000",N/A
경기 의정부,만나플러스 [의정부시]공유다4팀,시간협의,"시급20,000",N/A
경남 창원시,만나플러스 [경남창원시]북면총판,10:00~01:00,"건별4,000",N/A
전북 익산시,만나플러스 [전북익산]특별1지사,시간협의,"건별3,500",N/A
경기 이천시,만나플러스 [경기이천]이천총판배달대행,시간협의,"일급300,000",N/A
전남 나주시,만나플러스 [전남나주시]나다플래닛,시간협의,"건별3,500",N/A
서울 은평구,만나플러스 [은평구]탑지사,시간협의,"시급25,000",N/A
서울 영등포,만나플러스 [서울영등포구]영등포지사,시간협의,"월급5,000,000",N/A
서울 구로구,만나플러스 [구로대림]디유케이,시간협의,"월급5,000,000",N/A
서울 구로구,만나플러스 [구로대림]디유케이,시간협의,"월급5,000,000",N/A
서울 영등포,만나플러스 [서울영등포구]신길지사,시간협의,"월급5,000,000",N/A
서울 동작구,만나플러스 [동작영등포구]신길동작지사,시간협의,"월급5,000,000",N/A
서울 영등포,만나플러스 [서울영등포구]여의도지사,시간협의,"월급5,000,000",N/A
서울 동작구,만나플러스 [서울동작구]UK,시간협의,"월급5,000,000",N/A
서울 영등포,만나플러스 [구로대림]디유케이,시간협의,"월급5,000,000",N/A
서울 관악구,만나플러스 [동작신대방]디유케이,시간협의,"월급5,000,000",N/A
서울 관악구,만나플러스 [관악봉천]디유케이,시간협의,"월급5,000,000",N/A
대구 남구,만나플러스 [대구남구]RUN남문지사,시간협의,"건별3,500",N/A
충북 청주시,만나플러스 [충북청주]지앤비,시간협의,"시급25,000",N/A
