place,title,time,pay,date
서울 서초구,(주)신세계 본사,09:00~17:00,"시급10,000",22분 전
서울 서초구,(주)신세계 본사,09:00~17:00,"시급10,000",24분 전
서울 구로구,신세계 타임스퀘어점,10:00~18:00,"시급10,000",32분 전
서울 구로구,신세계 타임스퀘어점,10:00~18:00,"시급10,000",34분 전
서울 구로구,신세계 타임스퀘어점,10:00~18:00,"시급10,000",52분 전
서울 구로구,신세계 타임스퀘어점,10:00~18:00,"시급10,000",56분 전
서울 서초구,신세계백화점 강남점,10:00~20:30,"시급12,000",2시간 전
서울 서초구,신세계백화점 강남점,10:00~20:30,"시급12,000",2시간 전
서울 서초구,신세계백화점 강남점,10:00~20:00,"시급10,200",2시간 전
서울 서초구,신세계백화점 강남점,10:00~20:00,"시급10,200",2시간 전
대전 유성구,(주)신세계,10:00~18:00,"시급10,000",2시간 전
대전 유성구,(주)신세계,10:00~18:00,"시급10,000",2시간 전
경기 용인시,(주)신세계,09:30~17:30,"시급10,000",2시간 전
경기 용인시,(주)신세계,09:30~17:30,"시급10,000",2시간 전
경기 의정부,신세계의정부점,10:30~18:30,"시급10,000",2시간 전
경기 의정부,신세계의정부점,10:30~18:30,"시급10,000",2시간 전
서울 영등포,신세계백화점 타임스퀘어점,10:00~18:00,"시급10,000",2시간 전
경기 하남시,(주)신세계,시간협의,"시급10,000",2시간 전
서울 서초구,신세계백화점 강남점,10:30~21:00,"시급10,000",2시간 전
경기 하남시,(주)신세계,시간협의,"시급10,000",2시간 전
서울 영등포,신세계백화점 타임스퀘어점,10:00~18:00,"시급10,000",2시간 전
서울 서초구,신세계백화점 강남점,10:30~21:00,"시급10,000",2시간 전
경기 하남시,(주)신세계,10:00~18:00,"시급10,000",3시간 전
경기 하남시,(주)신세계,10:00~18:00,"시급10,000",3시간 전
광주 서구,신세계백화점 광주점,11:00~19:00,"시급10,000",3시간 전
광주 서구,신세계백화점 광주점,11:00~19:00,"시급10,000",3시간 전
