place,title,time,pay,date
경기 부천시,롯데리아 부천오정점,17:30~22:00,"시급9,860",1분 전
경기 수원시,롯데리아 망포역,09:00~24:00,"시급9,860",1분 전
경남 창원시,롯데리아 하나로마트남창원점,13:00~22:00,"월급2,500,000",1분 전
경기 시흥시,롯데리아 목감신도시,시간협의,"시급9,860",1분 전
서울 관악구,롯데리아 세이브마트점,10:00~23:00,"시급9,860",2분 전
경기 화성시,롯데리아 동탄CGV점,09:00~18:00,"월급2,400,000",2분 전
전국 전체,롯데리아 수원금곡점,시간협의,"월급2,700,000",3분 전
서울 서대문,롯데리아 가좌역,시간협의,"시급9,860",3분 전
울산 울주군,롯데리아 언양,16:00~22:30,"시급9,860",3분 전
경남 창원시,롯데리아 하나로마트남창원점,시간협의,"시급9,860",3분 전
서울 강서구,롯데리아 방화점,시간협의,"시급9,860",3분 전
경기 남양주,롯데리아 장현점,시간협의,"월급2,300,000",3분 전
경기 남양주,롯데리아 장현점,17:00~23:00,"시급9,860",3분 전
경기 남양주,롯데리아 평내,시간협의,"월급2,200,000",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",3분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",4분 전
경기 남양주,롯데리아 평내,시간협의,"월급2,200,000",4분 전
서울 강서구,롯데리아 방화점,시간협의,"시급9,860",4분 전
경기 남양주,롯데리아 장현점,17:00~23:00,"시급9,860",4분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",5분 전
경기 남양주,롯데리아 장현점,시간협의,"월급2,300,000",5분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",6분 전
울산 울주군,롯데리아 언양,16:00~22:30,"시급9,860",6분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",6분 전
서울 서대문,롯데리아 가좌역,시간협의,"시급9,860",6분 전
서울 동작구,롯데리아 노량진점,시간협의,"시급9,860",7분 전
경남 창원시,롯데리아 하나로마트남창원점,시간협의,"시급9,860",8분 전
인천 전체,롯데리아 인천청천,시간협의,"시급9,860",8분 전
서울 동대문,롯데리아 길음뉴타운점,16:00~22:00,"시급9,860",8분 전
울산 남구,롯데리아 울산터미날점,시간협의,"시급9,860",8분 전
인천 남동구,롯데리아 인천구월,08:00~23:00,"시급10,000",8분 전
경북 청도군,롯데리아 청도,시간협의,"시급9,860",8분 전
경기 시흥시,롯데리아 시흥제일점,18:00~22:30,"시급9,860",8분 전
경기 시흥시,롯데리아 시흥제일점,18:00~22:30,"시급9,860",8분 전
경남 창원시,롯데리아 창원대동백화점,12:00~21:00,"월급2,300,000",8분 전
서울 강남구,롯데리아 압구정역,시간협의,"시급10,000",8분 전
서울 강남구,롯데리아 압구정역,시간협의,"시급10,000",8분 전
경북 청도군,롯데리아 청도,시간협의,"시급9,860",10분 전
울산 남구,롯데리아 울산터미날점,시간협의,"시급9,860",10분 전
경남 창원시,롯데리아 창원대동백화점,12:00~21:00,"월급2,300,000",10분 전
서울 동대문,롯데리아 길음뉴타운점,16:00~22:00,"시급9,860",11분 전
인천 남동구,롯데리아 인천구월,08:00~23:00,"시급10,000",12분 전
경기 시흥시,롯데리아 시흥제일점,18:00~22:30,"시급9,860",12분 전
경기 시흥시,롯데리아 시흥제일점,18:00~22:30,"시급9,860",12분 전
인천 전체,롯데리아 인천청천,시간협의,"시급9,860",13분 전
인천 전체,롯데리아 인천청천점,시간협의,"시급9,860",13분 전
