place,title,time,pay,date
부산 사상구,153구포국수 사상점,21:00~09:00,"시급10,000",8분 전
부산 사상구,153구포국수 사상점,21:00~09:00,"시급10,000",13분 전
서울 서초구,153구포국수 반포점,09:00~18:30,"월급3,100,000",23분 전
서울 서초구,153구포국수 반포점,09:00~18:30,"월급3,100,000",28분 전
서울 은평구,153구포국수 연신내역점,09:00~21:00,"월급2,300,000",38분 전
서울 은평구,153구포국수 연신내역점,09:00~21:00,"월급3,200,000",39분 전
서울 동작구,153구포국수 노량진역점,12:00~15:00,"시급11,000",48분 전
서울 동작구,153구포국수 노량진역점,12:00~15:00,"시급11,000",49분 전
서울 중구,153구포국수 충무로점,09:00~21:00,"시급10,000",1시간 전
서울 중구,153구포국수 충무로점,09:00~21:00,"시급10,000",1시간 전
서울 은평구,153구포국수 연신내역점,09:00~21:00,"월급2,300,000",1시간 전
서울 은평구,153구포국수 연신내역점,09:00~21:00,"월급2,300,000",1시간 전
서울 동작구,153구포국수 노량진역점,시간협의,"월급2,700,000",1시간 전
서울 동작구,153구포국수 노량진역점,시간협의,"월급2,700,000",1시간 전
서울 동작구,153구포국수 노량진역점,시간협의,"월급3,300,000",1시간 전
서울 동작구,153구포국수 노량진역점,시간협의,"월급3,300,000",1시간 전
부산 부산진,153구포국수 초읍대공원점,09:00~21:00,"월급3,000,000",1시간 전
부산 부산진,153구포국수 초읍대공원점,09:00~21:00,"월급3,000,000",1시간 전
경기 부천시,153구포국수 부천시청점,21:00~09:00,"월급3,200,000",2시간 전
경기 부천시,153구포국수 부천시청점,21:00~09:00,"월급3,200,000",2시간 전
서울 강서구,153구포국수 마곡나루점,21:00~02:00,"시급11,000",2시간 전
서울 강서구,153구포국수 마곡나루점,21:00~02:00,"시급11,000",2시간 전
부산 동구,153구포국수 부산역점,09:00~21:00,"월급3,000,000",2시간 전
서울 중구,153구포국수 충무로점,09:00~21:00,"시급10,000",2시간 전
부산 동구,153구포국수 부산역점,09:00~21:00,"월급3,000,000",2시간 전
서울 중구,153구포국수 충무로점,09:00~21:00,"시급10,000",2시간 전
서울 송파구,153구포국수 송파구청점,09:00~21:00,"월급3,200,000",3시간 전
서울 송파구,153구포국수 송파구청점,09:00~21:00,"월급3,200,000",3시간 전
