place,title,time,pay,date
인천 연수구,코지하우스 송도점,시간협의,"월급2,600,000",47분 전
인천 연수구,코지하우스 송도점,시간협의,"월급2,600,000",49분 전
경북 포항시,코지하우스 포항북구점,시간협의,"시급12,000",2시간 전
경북 포항시,코지하우스 포항북구점,시간협의,"시급12,000",2시간 전
경기 화성시,코지하우스 새솔점,10:30~21:30,"시급9,860",4시간 전
경기 화성시,코지하우스 새솔점,10:30~21:30,"시급9,860",4시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
울산 북구,코지하우스 울산북구점,10:00~21:00,"월급2,700,000",7시간 전
경기 오산시,코지하우스 코지하우스 오산점,10:30~21:30,"월급2,600,000",7시간 전
경기 오산시,코지하우스 코지하우스 오산점,10:30~21:30,"월급2,600,000",7시간 전
경남 양산시,코지하우스 양산점,10:30~21:30,"월급2,600,000",23시간 전
경남 양산시,코지하우스 양산점,10:30~21:30,"월급2,600,000",23시간 전
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경북 경주시,코지하우스 경주점,10:00~21:00,"월급2,600,000",N/A
경기 의정부,코지하우스 의정부점,10:30~21:30,"월급2,600,000",N/A
경기 의정부,코지하우스 의정부점,10:30~21:30,"월급2,600,000",N/A
경북 포항시,코지하우스 포항남구점,시간협의,"월급2,540,000",N/A
경북 포항시,코지하우스 포항남구점,시간협의,"월급2,540,000",N/A
경남 양산시,코지하우스 양산점,10:30~21:30,"월급2,600,000",N/A
경남 양산시,코지하우스 양산점,10:30~21:30,"월급2,600,000",N/A
경기 오산시,코지하우스 코지하우스 오산점,10:30~21:30,"월급2,600,000",N/A
경기 오산시,코지하우스 코지하우스 오산점,10:30~21:30,"월급2,600,000",N/A
경남 진주시,코지하우스 진주점,10:30~21:30,"월급2,800,000",N/A
경남 진주시,코지하우스 진주점,10:30~21:30,"월급2,800,000",N/A
