place,title,time,pay,date
경기 평택시,이자카야 토라 평택역점,시간협의,"시급11,000",7분 전
경기 평택시,이자카야 토라 평택역점,시간협의,"시급11,000",11분 전
전북 전주시,크라운호프 전주삼천점,17:00~02:00,"월급2,400,000",12분 전
부산 해운대,크라운호프 부산장산점,17:00~03:00,"시급10,000",12분 전
전북 전주시,크라운호프 전주삼천점,17:00~02:00,"월급2,400,000",13분 전
부산 해운대,크라운호프 부산장산점,17:00~03:00,"시급10,000",14분 전
전북 전주시,크라운호프 송천2호점,20:00~00:00,"시급11,000",37분 전
충북 제천시,크라운호프 제천점,시간협의,"시급10,000",37분 전
전북 전주시,크라운호프 송천2호점,20:00~00:00,"시급11,000",41분 전
충북 제천시,크라운호프 제천점,시간협의,"시급10,000",42분 전
경기 김포시,크라운호프 김포사우점,시간협의,"월급3,000,000",57분 전
경기 김포시,크라운호프 김포사우점,시간협의,"월급3,000,000",59분 전
경기 화성시,이자카야 토라 동탄영천점,19:00~23:00,"시급12,000",2시간 전
강원 삼척시,크라운호프 삼척교동점,19:00~01:30,"시급12,000",2시간 전
강원 삼척시,크라운호프 삼척교동점,19:00~01:30,"시급12,000",2시간 전
경기 화성시,이자카야 토라 동탄영천점,19:00~23:00,"시급12,000",2시간 전
경기 포천시,크라운호프 포천송우점,22:00~03:00,"시급11,000",2시간 전
경기 포천시,크라운호프 포천송우점,22:00~03:00,"시급11,000",2시간 전
경기 수원시,크라운호프 수원역점,21:00~03:00,"시급10,500",2시간 전
경기 수원시,크라운호프 수원역점,21:00~03:00,"시급10,500",2시간 전
경기 파주시,크라운호프 파주야당점,시간협의,"시급12,000",3시간 전
경기 파주시,크라운호프 파주야당점,시간협의,"시급12,000",3시간 전
서울 강서구,크라운호프 발산마곡점,18:00~24:00,"시급12,000",3시간 전
서울 강서구,크라운호프 발산마곡점,18:00~24:00,"시급12,000",4시간 전
울산 전체,금복주류 울산대학교점,21:00~01:30,"시급11,000",4시간 전
울산 전체,금복주류 울산대학교점,21:00~01:30,"시급11,000",4시간 전
대구 북구,크라운호프 대구칠곡동천점,19:00~01:00,"시급10,000",4시간 전
대구 북구,크라운호프 대구칠곡동천점,19:00~01:00,"시급10,000",4시간 전
충남 천안시,크라운호프 천안신불당점,시간협의,"시급11,500",4시간 전
충남 천안시,크라운호프 천안신불당점,시간협의,"시급11,500",4시간 전
전남 나주시,크라운호프 나주혁신점,18:00~01:00,"시급11,000",4시간 전
전남 나주시,크라운호프 나주혁신점,18:00~01:00,"시급11,000",4시간 전
전북 전주시,이자카야 토라 전북대점,21:00~00:00,"시급10,000",4시간 전
경기 포천시,크라운호프 포천송우점,22:00~03:00,"시급11,000",4시간 전
전북 전주시,이자카야 토라 전북대점,21:00~00:00,"시급10,000",4시간 전
경기 포천시,크라운호프 포천송우점,22:00~03:00,"시급11,000",4시간 전
서울 강서구,크라운호프 발산마곡점,18:00~24:00,"시급12,000",5시간 전
서울 강서구,크라운호프 발산마곡점,18:00~24:00,"시급12,000",5시간 전
전북 전주시,크라운호프 전주평화2호점,시간협의,"시급10,000",5시간 전
전북 전주시,크라운호프 전주평화2호점,시간협의,"시급10,000",5시간 전
전북 전주시,크라운호프 전주평화2호점,시간협의,"시급10,000",5시간 전
전북 전주시,크라운호프 전주평화2호점,시간협의,"시급10,000",5시간 전
대구 북구,크라운호프 대구칠곡동천점,19:00~01:00,"시급10,000",5시간 전
대구 북구,크라운호프 대구칠곡동천점,19:00~01:00,"시급10,000",5시간 전
전북 김제시,크라운호프 전북김제점,20:00~01:00,"시급10,000",5시간 전
전북 김제시,크라운호프 전북김제점,20:00~01:00,"시급10,000",6시간 전
경북 구미시,크라운호프 구미옥계점,20:00~23:00,"시급9,860",6시간 전
경북 구미시,크라운호프 구미옥계점,20:00~23:00,"시급9,860",6시간 전
경기 안산시,이자카야 토라 안산본오,19:00~24:00,"시급10,500",7시간 전
경기 안산시,이자카야 토라 안산본오,19:00~24:00,"시급10,500",7시간 전
