place,title,time,pay,date
경북 구미시,딜리온 [딜리온]구미인동지사,시간협의,"일급200,000",30분 전
충북 청주시,딜리온 [딜리온]청주금천지사(딜리온(,시간협의,"일급200,000",36분 전
서울 도봉구,딜리온 [딜리온]창동지사(스퀘어배달대,시간협의,"시급20,000",1시간 전
충북 청주시,딜리온 [딜리온]퍼스트 충북대점,09:00~09:00,"일급250,000",2시간 전
서울 도봉구,딜리온 [딜리온]방학지사(스퀘어딜리버,시간협의,"시급18,000",2시간 전
충북 청주시,딜리온 청주퍼스트1-2지사(퍼스트1-,시간협의,"일급250,000",2시간 전
충북 충주시,딜리온 [딜리온]서충주2지사,시간협의,"월급5,000,000",2시간 전
대구 달성군,딜리온 [딜리온]구지지사,시간협의,"일급250,000",2시간 전
충북 청주시,딜리온 [딜리온]퍼스트용암동남지사,시간협의,"일급200,000",3시간 전
경기 평택시,딜리온 [딜리온]평택포승지사,시간협의,"일급200,000",3시간 전
경남 김해시,딜리온 [딜리온]진영지사,시간협의,"건별3,300",3시간 전
