place,title,time,pay,date
인천 전체,빕스 송도점,시간협의,"시급11,832",3분 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",1시간 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",1시간 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",1시간 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",1시간 전
경기 화성시,빕스 VIPS 동탄 롯데백화점점,08:00~15:00,"시급12,000",2시간 전
경기 화성시,빕스 VIPS 동탄 롯데백화점점,08:00~15:00,"시급12,000",2시간 전
경기 화성시,빕스 VIPS 동탄 롯데백화점점,08:00~15:00,"시급12,000",2시간 전
경기 화성시,빕스 VIPS 동탄 롯데백화점점,08:00~15:00,"시급12,000",2시간 전
울산 남구,빕스 VIPS 울산 현대백화점점,시간협의,"월급2,450,000",3시간 전
울산 남구,빕스 VIPS 울산 현대백화점점,시간협의,"월급2,450,000",3시간 전
인천 남동구,빕스 송도점,시간협의,"시급12,240",3시간 전
인천 남동구,빕스 송도점,시간협의,"시급12,240",3시간 전
인천 전체,빕스 송도점,시간협의,"시급11,832",4시간 전
인천 전체,빕스 송도점,시간협의,"시급11,832",4시간 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",5시간 전
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",5시간 전
서울 마포구,빕스 합정역점,시간협의,"시급10,000",6시간 전
서울 마포구,빕스 합정역점,시간협의,"시급10,000",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
경기 수원시,빕스 수원역사점,시간협의,"시급11,832",6시간 전
서울 강서구,빕스 VIPS마곡점,시간협의,"시급11,832",7시간 전
서울 강서구,빕스 VIPS마곡점,시간협의,"시급11,832",7시간 전
인천 전체,빕스 송도점,시간협의,"시급11,832",8시간 전
서울 도봉구,빕스 방학점,시간협의,"시급9,860",19시간 전
서울 도봉구,빕스 방학점,시간협의,"시급9,860",19시간 전
서울 도봉구,빕스 방학점,시간협의,"시급9,860",21시간 전
서울 도봉구,빕스 방학점,시간협의,"시급9,860",21시간 전
서울 전체,빕스 제일제당센터점,시간협의,"시급9,860",N/A
서울 전체,빕스 제일제당센터점,시간협의,"시급9,860",N/A
서울 강서구,빕스 VIPS마곡점,시간협의,"시급9,860",N/A
서울 강서구,빕스 VIPS마곡점,시간협의,"시급9,860",N/A
서울 마포구,빕스 합정역점,시간협의,"시급10,000",N/A
서울 마포구,빕스 합정역점,시간협의,"시급10,000",N/A
경기 고양시,빕스 일산점,시간협의,"시급9,860",N/A
경기 고양시,빕스 일산점,시간협의,"시급9,860",N/A
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",N/A
경남 창원시,빕스 VIPS 창원롯데백화점점,시간협의,"시급9,860",N/A
서울 마포구,빕스 합정역점,시간협의,"시급11,832",N/A
서울 마포구,빕스 합정역점,시간협의,"시급11,832",N/A
광주 전체,빕스 광주 광천점,시간협의,"시급11,832",N/A
광주 전체,빕스 광주 광천점,시간협의,"시급11,832",N/A
서울 전체,빕스 제일제당센터점,시간협의,"시급9,860",N/A
서울 전체,빕스 제일제당센터점,시간협의,"시급9,860",N/A
