place,title,time,pay,date
경기 전체,더플레이스 판교점,시간협의,"시급12,000",N/A
경기 전체,더플레이스 판교점,시간협의,"시급12,000",N/A
서울 중구,더플레이스 광화문SFC점,시간협의,"시급11,832",N/A
서울 중구,더플레이스 광화문SFC점,시간협의,"시급11,832",N/A
